ts,duty_cycle,acc,speed_l,speed_r,speed_avg
1649720818919,19,-0.660917216117216,60.21771893215232,68.87806172437104,64.54789032826167
1649720818952,19,-0.354404884004884,56.961694810142106,67.1526286926384,62.057161751390254
1649720818986,19,0.0862065934065934,63.87100387397521,65.71699116629776,64.79399752013649
1649720819019,19,0.0,82.82479496173367,65.46061701933581,74.14270599053475
1649720819052,19,0.07662808302808302,92.67036878940587,61.828155333963,77.24926206168443
1649720819086,19,-0.4022974358974359,82.85528967090912,66.3011805359215,74.57823510341531
1649720819119,19,-0.785437851037851,73.55696940724714,68.18467974436484,70.87082457580598
1649720819152,19,-0.21072722832722832,68.38847835590093,72.4167039601856,70.40259115804326
1649720819186,19,0.4501899877899878,75.78275816585091,78.21951324870747,77.00113570727919
1649720819219,19,-0.4022974358974359,80.61176157297385,74.16505263614931,77.38840710456158
1649720819252,19,0.15325616605616604,90.22809314178954,72.67520534238717,81.45164924208837
1649720819286,19,-0.5842891330891331,78.83146620847936,66.36894889659976,72.60020755253956
1649720819319,19,0.18199169719169717,74.86359251639516,70.76704327584773,72.81531789612144
1649720819352,19,-0.5938676434676434,62.151198353323664,72.48378372017831,67.317491036751
1649720819386,19,-0.32566935286935284,64.105208684534,72.12364424698451,68.11442646575927
1649720819419,19,0.5938676434676434,74.59583314250793,67.98268666407432,71.28925990329112
1649720819452,19,-0.03831404151404151,82.16946794127342,65.365874269254,73.7676711052637
1649720819486,19,-0.0862065934065934,84.14708772060865,72.54694006477814,78.3470138926934
1649720819519,19,-0.27777680097680096,85.31120088682447,73.04641724119753,79.178809064011
1649720819552,19,-0.18199169719169717,72.95048478907924,77.88565298566775,75.4180688873735
1649720819586,19,-0.5842891330891331,71.40840960260779,80.89723296267093,76.15282128263937
1649720819652,19,0.6417601953601954,91.20822199894971,78.23036562362992,84.71929381128982
1649720819686,19,-0.1340991452991453,92.35458115680015,88.72811336066651,90.54134725873334
1649720819719,19,-0.6704957264957265,86.58687507892087,92.0005407727887,89.29370792585479
1649720819752,19,-0.009578510378510378,87.80209339755073,96.91464732958184,92.35837036356628
1649720819819,19,-0.4885040293040293,104.22576219752165,90.74698498831407,97.48637359291786
1649720819852,19,0.0,105.5704073730029,90.13423484975426,97.85232111137859
1649720819886,19,-0.06704957264957265,101.04845973577993,91.5469032503797,96.2976814930798
1649720819952,19,-0.36398339438339433,99.0101138603361,91.08060489134465,95.04535937584038
1649720819986,19,0.9099584859584859,106.71024138821682,91.24908366827668,98.97966252824675
1649720820019,19,-0.10536361416361416,108.5745735088214,95.65144310228533,102.11300830555336
1649720820052,19,-0.3927189255189255,101.77285377614828,102.36234396086871,102.0675988685085
1649720820086,19,-0.20114871794871794,108.10320793352386,110.02821181533743,109.06570987443064
1649720820152,19,-0.3448263736263736,109.63793969558631,110.21630121607764,109.92712045583198
1649720820186,19,-0.6034461538461539,105.36822728547142,112.69705859935263,109.03264294241202
1649720820219,19,0.0,106.94614261600987,118.60638341303314,112.7762630145215
1649720820252,19,0.3448263736263736,113.35589409102485,110.98991777366254,112.1729059323437
1649720820286,19,0.6130246642246642,115.89871399063978,106.9618123879113,111.43026318927554
1649720820319,19,-0.06704957264957265,110.86570942721677,107.89522623567649,109.38046783144662
1649720820352,19,-0.6513387057387057,110.65199888681524,108.64808411518528,109.65004150100026
1649720820386,19,-0.09578510378510377,109.53755551939835,108.03889470134109,108.78822511036972
1649720820419,19,0.1245206349206349,116.06259335702276,104.6523817250488,110.35748754103578
1649720820452,19,-0.03831404151404151,109.71703971035473,103.2745700267202,106.49580486853746
1649720820519,19,0.11494212454212453,106.04359317071741,99.07171209151642,102.55765263111692
1649720820552,19,0.23946275946275944,103.64501884520456,92.40482434479793,98.02492159500125
1649720820619,19,-0.5459750915750916,89.90024009187991,96.86518680764132,93.38271344976062
1649720820652,19,-0.4501899877899878,82.84448049614531,102.04276769269211,92.44362409441871
1649720820686,19,0.4406114774114774,83.63841663255306,97.17030660777738,90.40436162016522
1649720820719,19,0.21072722832722832,86.42329546982434,86.35104063291715,86.38716805137074
1649720820752,19,-0.32566935286935284,95.27353363181206,79.85170344619841,87.56261853900523
1649720820786,19,-0.1245206349206349,94.61276728407093,77.74475910645792,86.17876319526442
1649720820819,19,-0.057471062271062266,87.80158847960689,84.91688876323417,86.35923862142053
1649720820852,19,-0.15325616605616604,78.51446981211714,80.02212126986593,79.26829554099155
1649720820886,19,-0.09578510378510377,85.66200018852149,81.4426223216735,83.5523112550975
1649720820919,19,0.5268180708180709,98.94775443580822,76.758692791838,87.8532236138231
1649720820952,19,-0.028735531135531133,97.88579561507895,76.86817033423551,87.37698297465724
1649720820986,19,-0.6226031746031745,86.84297581093966,78.81409042353759,82.82853311723863
1649720821019,19,-0.8237518925518925,82.81831973188172,82.43257886567764,82.62544929877967
1649720821052,19,-0.0862065934065934,80.61365077428287,80.11201965463015,80.36283521445651
1649720821086,19,-0.07662808302808302,81.61306708026947,70.24301653223918,75.92804180625433
1649720821119,19,-0.354404884004884,90.79392555618861,65.45621886508954,78.12507221063908
1649720821152,19,0.16283467643467642,87.41088049205493,67.27596353470835,77.34342201338164
1649720821186,19,0.15325616605616604,79.76210841662247,72.02749671428842,75.89480256545545
1649720821219,19,-0.4022974358974359,68.57350231123255,75.14460912895868,71.85905572009561
1649720821252,19,-0.4406114774114774,67.98569161488516,78.27180530038373,73.12874845763444
1649720821286,19,0.10536361416361416,78.87211825395181,74.37489471259921,76.62350648327552
1649720821319,19,0.3160908424908425,93.43783855666773,71.10656263179476,82.27220059423124
1649720821352,19,-0.4980825396825396,87.21434720070752,68.27234580988944,77.74334650529849
1649720821386,19,0.0862065934065934,82.52859951534458,68.14409845762262,75.3363489864836
1649720821419,19,-0.1245206349206349,71.56455515449505,75.94210945637701,73.75333230543603
1649720821452,19,-0.5268180708180709,69.17585227078764,75.07950917630531,72.12768072354648
1649720821486,19,0.2490412698412698,76.43649890679771,68.71271562494772,72.57460726587271
1649720821519,19,-0.5651321123321124,83.84089309871413,66.53832444720354,75.18960877295883
1649720821586,19,-0.27777680097680096,65.3601101120835,62.71108718338469,64.0355986477341
1649720821652,19,-0.5938676434676434,52.51264291281596,67.67279839264825,60.092720652732105
1649720821686,19,-0.7471238095238095,59.2072662160475,61.80905115326372,60.50815868465561
1649720821719,19,0.028735531135531133,66.23895871345215,57.10281436639135,61.67088653992175
1649720821752,19,-0.11494212454212453,73.57320064452631,54.272242285350885,63.9227214649386
1649720821786,19,-0.3927189255189255,75.78228426137964,54.48921382186067,65.13574904162016
1649720821819,19,-0.28735531135531134,65.16458475274473,51.974228529726545,58.56940664123564
1649720821852,19,-0.19157020757020754,55.599929059817555,54.53450515302487,55.06721710642121
1649720821886,19,-0.1245206349206349,46.79188192078854,54.185483278923286,50.48868259985591
1649720821919,19,-0.3927189255189255,48.20685346667477,59.42159025945314,53.814221863063956
1649720821952,19,-0.6513387057387057,51.50789602547779,56.08256882372433,53.79523242460106
1649720821986,19,-0.14367765567765567,65.08358063478097,53.4895113899282,59.286546012354584
1649720822019,19,-0.11494212454212453,76.95750338929996,47.65602289756796,62.306763143433955
1649720822052,19,-0.21072722832722832,80.51308205958992,46.34311286887149,63.4280974642307
1649720822086,19,-0.21072722832722832,72.57383973572263,46.54664522507666,59.560242480399644
1649720822119,19,-0.06704957264957265,66.94454711128103,57.22757740321695,62.08606225724898
1649720822152,19,-0.36398339438339433,51.29557658798358,65.30140768825244,58.29849213811801
1649720822186,19,-0.18199169719169717,56.26486236944547,76.73708813168935,66.50097525056741
1649720822219,19,-0.37356190476190476,65.75383250771488,74.74596476634298,70.24989863702893
1649720822252,19,0.057471062271062266,82.19937753463886,72.55327494423246,77.37632623943566
1649720822286,19,-0.11494212454212453,95.11728805662509,70.49145021442308,82.80436913552408
1649720822319,19,-0.3160908424908425,84.7695507748532,70.38668733210807,77.57811905348063
1649720822352,19,-0.33524786324786326,75.65700339849684,75.29988749447892,75.47844544648788
1649720822386,19,-0.20114871794871794,74.25723169831389,86.159134255986,80.20818297714995
1649720822419,19,-0.057471062271062266,80.80969564201969,91.06102543935076,85.93536054068522
1649720822452,19,0.11494212454212453,92.216317322489,89.71558193655714,90.96594962952307
1649720822486,19,-0.20114871794871794,101.32664924619726,91.092860657808,96.20975495200264
1649720822519,19,-0.1724131868131868,100.4102311154266,93.25196868153958,96.83109989848309
1649720822552,19,-0.632181684981685,85.73650969894967,94.35799032464305,90.04725001179636
1649720822619,19,0.2490412698412698,105.35207225363612,95.56082957072513,100.45645091218063
1649720822653,19,-0.2681982905982906,107.51968899656174,89.91374732083885,98.7167181587003
1649720822686,19,-0.18199169719169717,96.57676314710864,89.94357861152415,93.26017087931639
1649720822719,19,0.20114871794871794,97.19303846503236,104.4724386801457,100.83273857258902
1649720822753,19,-0.3448263736263736,90.61644972975103,100.21694404808716,95.41669688891909
1649720822786,19,-0.4885040293040293,100.63818133029993,102.423068293831,101.53062481206547
1649720822819,19,0.10536361416361416,100.60605792156474,101.10767388492347,100.85686590324411
1649720822853,19,0.11494212454212453,86.08809743859013,91.99455851410401,89.04132797634708
1649720822886,19,0.4022974358974359,85.67585406030787,101.27933334640787,93.47759370335787
1649720822953,19,-0.33524786324786326,101.31720330202162,98.49884424777014,99.90802377489588
1649720822986,19,0.3065123321123321,105.59603330950094,95.79175607801879,100.69389469375986
1649720823019,19,0.0,98.87955154824459,97.43546649592257,98.15750902208359
